Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,Season,BFH,BFD,BFA,1XBH,1XBD,1XBA,BFEH,BFED,BFEA,BFE>2.5,BFE<2.5,BFEAHH,BFEAHA,BFCH,BFCD,BFCA,1XBCH,1XBCD,1XBCA,BFECH,BFECD,BFECA,BFEC>2.5,BFEC<2.5,BFECAHH,BFECAHA,Year,HPos,HPlayed,HWon,HDrawn,HLost,APos,APlayed,AWon,ADrawn,ALost,HWinRate,AWinRate,HDrawRate,ADrawRate,HLossRate,ALossRate,PosDiff,PosRatio,HDRatio,HARatio,DARatio
E0,2020-09-12,12:30,Fulham,Arsenal,0,3,A,0,1,A,C Kavanagh,5,13,2,6,12,12,2,3,2,2,0,0,6.0,4.33,1.53,5.5,4.25,1.57,6.0,3.9,1.57,6.16,4.51,1.56,6.5,4.2,1.53,6.5,4.2,1.55,6.5,4.51,1.57,6.04,4.3225,1.5475,1.72,2.1,1.8,2.13,1.84,2.18,1.76,2.1,1.0,1.93,1.97,1.96,1.96,2.0,1.99,1.93,1.95,5.0,4.0,1.66,5.5,4.0,1.62,5.25,3.9,1.67,5.48,3.98,1.69,5.5,3.8,1.65,5.5,3.9,1.67,5.75,4.2,1.71,5.36,3.93,1.67,2.0,1.8,2.06,1.86,2.1,1.92,2.0,1.84,0.75,2.01,1.89,2.02,1.91,2.13,1.92,2.02,1.87,2020/21,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,18,38,5,13,20,8,38,18,7,13,0.13157894390581729,0.4736841980609422,0.34210525415512494,0.18421052146814418,0.5263157756232691,0.34210525415512494,-10,2.2499997187500353,1.3973391793315952,3.903066944706336,2.7932130576975394
E0,2020-09-12,15:00,Crystal Palace,Southampton,1,0,H,1,0,H,J Moss,5,9,3,5,14,11,7,3,2,1,0,0,3.1,3.25,2.37,3.0,3.2,2.45,3.15,2.95,2.4,3.32,3.29,2.4,3.2,3.2,2.35,3.2,3.2,2.4,3.32,3.29,2.45,3.1550000000000002,3.2350000000000003,2.3925,2.2,1.66,2.34,1.68,2.36,1.73,2.24,1.67,0.25,1.85,2.05,1.88,2.05,1.88,2.07,1.84,2.03,3.0,3.25,2.4,3.0,3.3,2.4,3.05,2.9,2.45,3.09,3.27,2.54,3.1,3.1,2.45,3.1,3.25,2.45,3.25,3.33,2.55,3.08,3.22,2.47,2.2,1.66,2.26,1.72,2.27,1.78,2.18,1.7,0.25,1.78,2.13,1.79,2.17,1.85,2.18,1.79,2.12,2020/21,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,14,38,12,8,18,15,38,12,7,19,0.31578946537396146,0.31578946537396146,0.21052631024930765,0.18421052146814418,0.4736841980609422,0.49999998684210567,1,0.9333332711111153,0.9752701776599141,1.318703733039192,1.3521415456043697
E0,2020-09-12,17:30,Liverpool,Leeds United,4,3,H,3,2,H,M Oliver,22,6,6,3,9,6,9,0,1,0,0,0,1.28,6.0,9.5,1.26,6.25,10.5,1.35,5.0,8.5,1.31,6.25,9.92,1.27,6.0,10.0,1.3,5.75,10.5,1.31,6.25,10.5,1.28,6.125,9.98,1.53,2.5,1.56,2.6,1.56,2.68,1.52,2.53,-1.5,1.95,1.95,1.97,1.95,2.0,2.08,1.9,1.97,1.25,6.0,11.0,1.25,6.25,11.0,1.3,6.0,9.0,1.28,6.34,11.38,1.25,6.0,12.0,1.29,6.0,11.5,1.3,6.75,12.27,1.28,6.16,10.63,1.5,2.62,1.51,2.76,1.53,2.82,1.5,2.62,-1.5,1.85,2.05,1.85,2.08,1.9,2.16,1.84,2.04,2020/21,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,3,38,20,9,9,9,38,18,5,15,0.5263157756232691,0.4736841980609422,0.2368420990304711,0.13157894390581729,0.2368420990304711,0.39473683171745183,6,0.33333329629630043,0.20897955771762322,0.1282565001746994,0.6137273934140889
E0,2020-09-12,20:00,West Ham United,Newcastle United,0,2,A,0,0,D,S Attwell,15,15,3,2,13,7,8,7,2,2,0,0,2.15,3.4,3.4,2.15,3.4,3.4,2.15,3.15,3.4,2.18,3.61,3.5,2.15,3.5,3.4,2.15,3.4,3.6,2.18,3.61,3.5,2.1575,3.4775,3.4250000000000003,1.9,1.9,2.0,1.91,2.05,1.95,1.97,1.86,-0.5,2.07,1.72,2.17,1.78,2.17,1.81,2.12,1.75,1.95,3.6,3.75,1.95,3.7,3.75,2.05,3.25,3.75,2.04,3.59,3.92,2.0,3.5,3.8,2.0,3.5,3.9,2.07,3.78,3.99,2.01,3.57,3.79,1.9,1.9,2.0,1.92,2.0,2.05,1.91,1.92,-0.5,2.03,1.87,2.04,1.88,2.09,1.91,2.02,1.86,2020/21,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,6,38,19,8,11,12,38,12,9,17,0.49999998684210567,0.31578946537396146,0.21052631024930765,0.2368420990304711,0.289473676592798,0.4473684092797787,6,0.4999999583333368,0.6204167878025053,0.6299268233790296,1.0153281707071034
E0,2020-09-13,14:00,West Bromwich Albion,Leicester City,0,3,A,0,0,D,A Taylor,7,13,1,7,12,9,2,5,1,1,0,0,3.8,3.6,1.95,3.7,3.6,2.0,3.85,3.2,2.0,4.0,3.59,2.0,3.8,3.6,1.95,4.0,3.5,1.95,4.0,3.6,2.0,3.825,3.5974999999999997,1.975,1.9,1.9,2.0,1.91,2.02,2.03,1.92,1.9,0.5,1.91,1.99,1.92,2.0,1.93,2.02,1.88,1.97,3.25,3.4,2.2,3.3,3.4,2.2,3.35,3.0,2.3,3.38,3.38,2.32,3.3,3.3,2.25,3.3,3.3,2.3,3.55,3.5,2.38,3.32,3.33,2.28,2.2,1.66,2.23,1.74,2.28,1.82,2.15,1.73,0.25,1.92,1.98,1.93,1.99,1.95,2.01,1.91,1.97,2020/21,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,19,38,5,11,22,5,38,20,6,12,0.13157894390581729,0.5263157756232691,0.289473676592798,0.15789473268698073,0.578947353185596,0.31578946537396146,-14,3.799999240000152,1.0632380644230537,1.936707880147909,1.821518065054144
E0,2020-09-13,16:30,Tottenham Hotspur,Everton,0,1,A,0,0,D,M Atkinson,9,15,5,4,15,7,5,3,1,0,0,0,1.83,3.6,4.33,1.85,3.6,4.33,1.95,3.25,4.1,1.94,3.57,4.3,1.88,3.5,4.33,1.87,3.5,4.33,1.94,3.6,4.33,1.875,3.5675,4.3225,1.9,1.9,2.01,1.9,2.04,1.95,1.94,1.88,-0.5,1.91,1.99,1.93,1.99,1.93,2.02,1.9,1.96,2.0,3.4,3.8,2.0,3.4,3.9,2.05,3.1,3.75,2.09,3.5,3.88,2.05,3.3,3.8,2.1,3.4,3.75,2.16,3.5,4.05,2.07,3.39,3.79,2.0,1.8,2.08,1.85,2.15,1.92,2.05,1.79,-0.5,2.09,1.81,2.09,1.85,2.16,1.86,2.08,1.81,2020/21,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,7,38,18,8,12,10,38,17,8,13,0.4736841980609422,0.4473684092797787,0.21052631024930765,0.21052631024930765,0.31578946537396146,0.34210525415512494,3,0.699999930000007,0.5255779886256514,0.4337766492130366,0.8253323712360043
E0,2020-09-14,20:15,Brighton & Hove Albion,Chelsea,1,3,A,0,1,A,C Pawson,13,10,3,5,8,13,4,3,1,0,0,0,5.0,4.33,1.61,5.0,4.1,1.65,5.0,3.7,1.67,5.36,4.34,1.65,5.25,4.0,1.65,5.25,3.9,1.65,5.36,4.34,1.65,5.1525,4.1925,1.6400000000000001,1.72,2.1,1.79,2.14,1.84,2.18,1.76,2.08,0.75,2.06,1.84,2.11,1.83,2.11,1.88,2.05,1.82,5.75,4.4,1.53,5.75,4.25,1.55,5.5,4.2,1.6,6.07,4.46,1.57,6.0,4.2,1.55,6.0,4.2,1.57,6.4,4.7,1.6,5.91,4.35,1.56,1.72,2.1,1.71,2.27,1.8,2.27,1.71,2.17,1.0,1.93,1.97,1.94,1.98,2.02,2.02,1.93,1.95,2020/21,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,16,38,9,14,15,4,38,19,10,9,0.2368420990304711,0.49999998684210567,0.36842104293628836,0.26315788781163457,0.39473683171745183,0.2368420990304711,-12,3.99999900000025,1.2289800288658248,3.141766376971721,2.5564008802433658
E0,2020-09-14,18:00,Sheffield United,Wolverhampton Wanderers,0,2,A,0,2,A,M Dean,9,11,2,4,13,7,12,5,2,1,0,0,3.25,3.1,2.37,3.4,3.1,2.3,3.35,2.7,2.45,3.41,3.03,2.46,3.3,3.1,2.38,3.4,3.0,2.38,3.41,3.1,2.46,3.34,3.0825,2.3775,2.62,1.5,2.84,1.48,2.88,1.53,2.68,1.48,0.25,1.86,2.04,1.85,2.06,1.88,2.07,1.84,2.02,3.2,2.9,2.55,3.2,2.9,2.55,3.2,2.6,2.65,3.28,2.9,2.68,3.25,2.8,2.6,3.3,2.88,2.55,3.5,2.97,2.77,3.23,2.86,2.62,3.2,1.36,3.15,1.41,3.2,1.44,3.01,1.39,0.25,1.7,2.1,1.74,2.23,1.86,2.28,1.74,2.18,2020/21,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,20,38,7,2,29,13,38,12,9,17,0.18421052146814418,0.31578946537396146,0.05263157756232691,0.2368420990304711,0.7631578746537402,0.4473684092797787,-7,1.5384614201183524,1.0835357393233611,1.4048364227817358,1.296529423121168
E0,2020-09-19,12:30,Everton,West Bromwich Albion,5,2,H,2,1,H,M Dean,17,6,7,4,9,11,11,1,1,0,0,1,1.5,4.2,6.5,1.55,4.2,6.0,1.55,4.0,6.0,1.55,4.33,6.46,1.52,4.2,6.5,1.5,4.2,7.0,1.55,4.33,6.5,1.5299999999999998,4.2325,6.365,1.87,2.03,1.87,2.05,1.9,2.13,1.81,2.03,-1.0,1.91,1.99,1.97,1.96,1.99,2.04,1.91,1.97,1.57,4.0,6.0,1.57,4.0,6.0,1.6,3.8,6.25,1.61,4.12,6.41,1.55,3.9,6.5,1.6,3.9,6.5,1.66,4.23,6.85,1.59,4.03,6.15,1.9,1.9,2.03,1.89,2.07,1.94,1.98,1.85,-1.0,2.09,1.81,2.14,1.82,2.15,1.9,2.06,1.83,2020/21,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,10,38,17,8,13,19,38,5,11,22,0.4473684092797787,0.13157894390581729,0.21052631024930765,0.289473676592798,0.34210525415512494,0.578947353185596,9,0.5263157617728547,0.3614883965768702,0.24037702429269056,0.6649645459600084
E0,2020-09-19,15:00,Leeds United,Fulham,4,3,H,2,1,H,A Taylor,10,14,7,6,13,18,5,3,1,2,0,0,1.61,3.9,5.75,1.62,4.0,5.5,1.65,3.7,5.5,1.65,4.05,5.61,1.63,3.9,5.5,1.62,3.9,6.0,1.65,4.05,5.75,1.6275000000000002,3.9625,5.59,1.97,1.93,1.96,1.96,1.99,2.0,1.93,1.91,-0.75,1.81,2.09,1.85,2.08,1.86,2.14,1.82,2.07,1.66,3.8,5.25,1.67,4.0,5.0,1.75,3.55,4.9,1.75,3.91,5.12,1.7,3.7,5.25,1.73,3.7,5.25,1.8,4.0,5.7,1.73,3.81,5.05,2.01,1.89,2.03,1.89,2.04,2.05,1.96,1.88,-0.75,1.97,1.93,1.99,1.94,2.01,2.03,1.95,1.93,2020/21,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,9,38,18,5,15,18,38,5,13,20,0.4736841980609422,0.13157894390581729,0.13157894390581729,0.34210525415512494,0.39473683171745183,0.5263157756232691,9,0.49999997222222375,0.4107254483973632,0.2911448495268606,0.7088549715822948
E0,2020-09-19,17:30,Manchester United,Crystal Palace,1,3,A,0,1,A,M Atkinson,13,14,4,5,13,10,9,3,2,1,0,0,1.3,5.5,9.5,1.33,5.25,9.25,1.35,5.0,9.0,1.3,5.88,9.8,1.3,5.5,10.0,1.33,5.25,10.0,1.33,5.88,10.0,1.3074999999999999,5.5325,9.6375,1.66,2.2,1.67,2.29,1.74,2.31,1.66,2.24,-1.5,2.0,1.9,1.98,1.92,2.08,1.97,1.98,1.89,1.36,5.0,8.0,1.36,5.0,8.5,1.37,5.25,8.0,1.38,5.18,9.33,1.35,5.0,9.0,1.36,5.0,9.5,1.42,5.4,10.0,1.37,5.07,8.7,1.66,2.2,1.71,2.27,1.76,2.37,1.68,2.22,-1.25,1.86,2.04,1.9,2.04,1.91,2.08,1.86,2.02,2020/21,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,2,38,21,11,6,14,38,12,8,18,0.5526315644044325,0.31578946537396146,0.289473676592798,0.21052631024930765,0.15789473268698073,0.4736841980609422,12,0.14285713265306196,0.23633072998992677,0.13566794960643844,0.5740596032104174
